TimeUTC,TimeDK,PriceArea,UpDemandMW,UpProcuredMW,UpPriceEUR,UpPriceDKK,DownDemandMW,DownProcuredMW,DownPriceEUR,DownPriceDKK
2024-10-01 22:00:00,2024-10-02T00:00:00,DK1,,0.0,0.0,0.0,,0.0,0.0,0.0
2024-10-01 23:00:00,2024-10-02T01:00:00,DK1,,0.0,0.0,0.0,,0.0,0.0,0.0
2024-10-02 00:00:00,2024-10-02T02:00:00,DK1,,0.0,0.0,0.0,,0.0,0.0,0.0
2024-10-02 01:00:00,2024-10-02T03:00:00,DK1,,0.0,0.0,0.0,,0.0,0.0,0.0
2024-10-02 02:00:00,2024-10-02T04:00:00,DK1,,0.0,0.0,0.0,,0.0,0.0,0.0
2024-10-02 03:00:00,2024-10-02T05:00:00,DK1,,0.0,0.0,0.0,,0.0,0.0,0.0
2024-10-02 04:00:00,2024-10-02T06:00:00,DK1,,0.0,0.0,0.0,,0.0,0.0,0.0
2024-10-02 05:00:00,2024-10-02T07:00:00,DK1,,0.0,0.0,0.0,,0.0,0.0,0.0
2024-10-02 06:00:00,2024-10-02T08:00:00,DK1,,0.0,0.0,0.0,,0.0,0.0,0.0
2024-10-02 07:00:00,2024-10-02T09:00:00,DK1,,0.0,0.0,0.0,,0.0,0.0,0.0
2024-10-02 08:00:00,2024-10-02T10:00:00,DK1,,100.0,80.2,598.23586,,100.0,5.5,41.02615
2024-10-02 09:00:00,2024-10-02T11:00:00,DK1,,100.0,79.94,596.296442,,100.0,5.5,41.02615
2024-10-02 10:00:00,2024-10-02T12:00:00,DK1,,100.0,74.57,556.240001,,100.0,5.5,41.02615
2024-10-02 11:00:00,2024-10-02T13:00:00,DK1,,100.0,78.06,582.272958,,100.0,13.68,102.043224
2024-10-02 12:00:00,2024-10-02T14:00:00,DK1,,100.0,81.68,609.275624,,100.0,14.08,105.026944
2024-10-02 13:00:00,2024-10-02T15:00:00,DK1,,100.0,90.67,676.334731,,100.0,14.08,105.026944
2024-10-02 14:00:00,2024-10-02T16:00:00,DK1,,100.0,98.31,733.323783,,100.0,14.08,105.026944
2024-10-02 15:00:00,2024-10-02T17:00:00,DK1,,100.0,113.36,845.586248,,100.0,14.08,105.026944
2024-10-02 16:00:00,2024-10-02T18:00:00,DK1,,100.0,136.8,1020.43224,,100.0,14.08,105.026944
2024-10-02 17:00:00,2024-10-02T19:00:00,DK1,,100.0,148.47,1107.482271,,100.0,14.08,105.026944
