hour_utc,hour_dk,temp_mean_past1h,radia_glob_past1h,wind_speed_past1h,precip_past1h,pressure,humidity_past1h
2024-01-01 00:00:00,2024-01-01 01:00:00,5.63333,0.0,4.56667,0.0,995.333,94.6667
2024-01-01 01:00:00,2024-01-01 02:00:00,5.6,,3.9,0.0,994.2,94.5
2024-01-01 02:00:00,2024-01-01 03:00:00,5.53333,0.0,4.6,0.0,995.167,94.3333
2024-01-01 03:00:00,2024-01-01 04:00:00,5.53333,0.0,4.93333,0.2,995.067,93.6667
2024-01-01 04:00:00,2024-01-01 05:00:00,5.56667,0.0,5.0,0.05,994.933,93.0
2024-01-01 05:00:00,2024-01-01 06:00:00,5.56667,0.0,5.1,0.0,994.8,93.0
2024-01-01 06:00:00,2024-01-01 07:00:00,5.6,0.0,5.06667,0.0,994.8,92.3333
2024-01-01 07:00:00,2024-01-01 08:00:00,5.63333,0.0,4.9,0.2,994.8,93.6667
2024-01-01 08:00:00,2024-01-01 09:00:00,5.6,0.0,5.06667,0.75,995.1,93.6667
2024-01-01 09:00:00,2024-01-01 10:00:00,5.5,0.0,4.9,0.15,995.433,93.6667
2024-01-01 10:00:00,2024-01-01 11:00:00,5.56667,9.0,5.03333,0.15,995.633,93.3333
2024-01-01 11:00:00,2024-01-01 12:00:00,5.86667,22.0,5.23333,0.0,995.867,92.3333
2024-01-01 12:00:00,2024-01-01 13:00:00,6.1,20.0,5.23333,0.0,995.9,92.3333
2024-01-01 13:00:00,2024-01-01 14:00:00,6.13333,18.0,4.9,0.1,995.833,94.0
2024-01-01 14:00:00,2024-01-01 15:00:00,5.86667,28.0,4.93333,0.05,995.8,95.3333
2024-01-01 15:00:00,2024-01-01 16:00:00,5.63333,16.0,4.86667,0.15,995.8,95.6667
2024-01-01 16:00:00,2024-01-01 17:00:00,5.53333,6.0,4.63333,0.5,996.067,96.0
2024-01-01 17:00:00,2024-01-01 18:00:00,5.43333,0.0,3.9,0.4,996.4,96.3333
2024-01-01 18:00:00,2024-01-01 19:00:00,5.5,0.0,3.6,0.35,996.9,96.3333
2024-01-01 19:00:00,2024-01-01 20:00:00,5.63333,0.0,3.36667,0.25,997.333,96.3333
2024-01-01 20:00:00,2024-01-01 21:00:00,5.56667,0.0,3.13333,0.55,997.733,96.3333
2024-01-01 21:00:00,2024-01-01 22:00:00,5.43333,0.0,2.96667,0.2,998.133,96.0
2024-01-01 22:00:00,2024-01-01 23:00:00,5.36667,0.0,3.3,0.0,998.567,95.6667
2024-01-01 23:00:00,2024-01-02 00:00:00,5.36667,0.0,3.33333,0.0,998.9,95.6667
2024-01-02 00:00:00,2024-01-02 01:00:00,5.23333,0.0,2.63333,0.0,999.1,95.0
2024-01-02 01:00:00,2024-01-02 02:00:00,5.0,0.0,3.16667,0.1,999.067,95.0
