hour_utc,hour_dk,temp_mean_past1h,radia_glob_past1h,wind_speed_past1h,precip_past1h,pressure,humidity_past1h
2023-01-01 00:00:00,2023-01-01 01:00:00,7.1,0.0,2.6,1.42333,996.975,98.0
2023-01-01 01:00:00,2023-01-01 02:00:00,7.53333,0.0,5.05,2.055,996.475,98.0
2023-01-01 02:00:00,2023-01-01 03:00:00,7.96667,0.0,8.075,1.85667,996.35,98.0
2023-01-01 03:00:00,2023-01-01 04:00:00,8.26667,0.0,9.05,2.88,996.725,96.6667
2023-01-01 04:00:00,2023-01-01 05:00:00,8.3,0.0,8.7,1.05333,996.875,96.6667
2023-01-01 05:00:00,2023-01-01 06:00:00,8.23333,0.0,8.875,0.396667,997.225,96.3333
2023-01-01 06:00:00,2023-01-01 07:00:00,8.23333,0.0,8.525,0.123333,997.8,96.0
2023-01-01 07:00:00,2023-01-01 08:00:00,8.53333,0.0,8.525,0.12,998.325,96.0
2023-01-01 08:00:00,2023-01-01 09:00:00,9.36667,0.0,8.75,0.12,999.075,96.0
2023-01-01 09:00:00,2023-01-01 10:00:00,9.46667,0.0,9.1,0.0,999.95,94.3333
2023-01-01 10:00:00,2023-01-01 11:00:00,9.56667,10.5,9.725,0.0666667,1001.0,92.3333
2023-01-01 11:00:00,2023-01-01 12:00:00,9.53333,33.0,10.025,0.0333333,1002.25,90.6667
2023-01-01 12:00:00,2023-01-01 13:00:00,9.5,60.5,9.975,0.0,1003.15,88.0
2023-01-01 13:00:00,2023-01-01 14:00:00,9.43333,70.0,9.775,0.0,1003.92,86.0
2023-01-01 14:00:00,2023-01-01 15:00:00,9.16667,56.0,9.275,0.0,1004.88,85.3333
2023-01-01 15:00:00,2023-01-01 16:00:00,9.13333,34.5,8.675,0.0,1005.62,85.3333
2023-01-01 16:00:00,2023-01-01 17:00:00,8.83333,13.5,8.0,0.0,1006.62,86.0
2023-01-01 17:00:00,2023-01-01 18:00:00,8.7,0.5,8.275,0.0,1007.4,87.6667
2023-01-01 18:00:00,2023-01-01 19:00:00,8.56667,0.0,7.475,0.0,1007.65,88.0
2023-01-01 19:00:00,2023-01-01 20:00:00,8.1,0.0,6.3,0.0,1008.1,89.6667
2023-01-01 20:00:00,2023-01-01 21:00:00,7.76667,0.0,5.85,0.0,1008.4,91.0
2023-01-01 21:00:00,2023-01-01 22:00:00,7.7,0.0,5.5,0.0,1008.67,92.0
2023-01-01 22:00:00,2023-01-01 23:00:00,7.8,0.0,5.225,0.0,1009.12,92.3333
2023-01-01 23:00:00,2023-01-02 00:00:00,7.9,0.0,4.525,0.0,1009.47,93.0
2023-01-02 00:00:00,2023-01-02 01:00:00,7.96667,0.0,4.2,0.0,1009.12,93.0
2023-01-02 01:00:00,2023-01-02 02:00:00,7.7,0.0,3.65,0.0,1008.53,93.3333
2023-01-02 02:00:00,2023-01-02 03:00:00,7.43333,0.0,3.45,0.0,1008.0,94.3333
2023-01-02 03:00:00,2023-01-02 04:00:00,7.4,0.0,3.45,0.41,1007.7,95.0
2023-01-02 04:00:00,2023-01-02 05:00:00,7.3,0.0,3.05,0.32,1007.2,95.6667
2023-01-02 05:00:00,2023-01-02 06:00:00,7.26667,0.0,3.0,0.0933333,1006.33,95.6667
2023-01-02 06:00:00,2023-01-02 07:00:00,7.36667,0.0,3.125,0.36,1005.67,96.0
2023-01-02 07:00:00,2023-01-02 08:00:00,7.36667,0.0,2.3,0.603333,1005.08,97.3333
2023-01-02 08:00:00,2023-01-02 09:00:00,7.23333,0.0,1.6,1.23,1004.47,97.3333
2023-01-02 09:00:00,2023-01-02 10:00:00,7.23333,0.0,1.425,0.963333,1004.4,97.6667
2023-01-02 10:00:00,2023-01-02 11:00:00,6.93333,3.5,0.775,0.503333,1004.4,97.6667
2023-01-02 11:00:00,2023-01-02 12:00:00,7.0,17.0,1.525,0.223333,1004.85,97.6667
2023-01-02 12:00:00,2023-01-02 13:00:00,7.1,30.5,2.875,0.26,1005.28,98.0
2023-01-02 13:00:00,2023-01-02 14:00:00,7.0,49.0,3.85,0.05,1006.0,97.3333
2023-01-02 14:00:00,2023-01-02 15:00:00,6.9,43.0,3.425,0.0,1006.92,96.3333
2023-01-02 15:00:00,2023-01-02 16:00:00,6.83333,48.5,3.625,0.0,1007.62,96.0
2023-01-02 16:00:00,2023-01-02 17:00:00,6.63333,13.5,3.95,0.0,1008.4,95.0
2023-01-02 17:00:00,2023-01-02 18:00:00,6.4,0.5,4.2,0.0,1008.92,95.3333
2023-01-02 18:00:00,2023-01-02 19:00:00,6.43333,0.0,5.025,0.4,1009.33,95.6667
2023-01-02 19:00:00,2023-01-02 20:00:00,6.4,0.0,5.8,0.586667,1009.58,94.3333
2023-01-02 20:00:00,2023-01-02 21:00:00,6.26667,0.0,6.4,0.0,1010.35,93.0
2023-01-02 21:00:00,2023-01-02 22:00:00,5.73333,0.0,6.4,0.0,1011.17,91.0
2023-01-02 22:00:00,2023-01-02 23:00:00,5.36667,0.0,6.125,0.0,1012.05,90.6667
2023-01-02 23:00:00,2023-01-03 00:00:00,4.96667,0.0,5.75,0.0,1012.95,90.6667
2023-01-03 00:00:00,2023-01-03 01:00:00,4.6,0.0,5.4,0.0,1013.83,91.3333
2023-01-03 01:00:00,2023-01-03 02:00:00,4.5,0.0,5.5,0.0,1014.4,91.0
2023-01-03 02:00:00,2023-01-03 03:00:00,4.46667,0.0,5.575,0.0,1015.17,90.3333
2023-01-03 03:00:00,2023-01-03 04:00:00,4.5,0.0,5.65,0.0,1015.95,91.0
2023-01-03 04:00:00,2023-01-03 05:00:00,4.6,0.0,5.3,0.0,1016.62,90.6667
2023-01-03 05:00:00,2023-01-03 06:00:00,4.56667,0.0,5.3,0.0,1017.25,91.3333
2023-01-03 06:00:00,2023-01-03 07:00:00,4.66667,0.0,4.8,0.0666667,1017.85,91.6667
2023-01-03 07:00:00,2023-01-03 08:00:00,4.6,0.0,4.325,0.0333333,1018.38,90.6667
2023-01-03 08:00:00,2023-01-03 09:00:00,3.96667,0.0,3.8,0.0,1018.97,92.0
2023-01-03 09:00:00,2023-01-03 10:00:00,3.43333,2.0,3.6,0.0,1019.8,92.3333
2023-01-03 10:00:00,2023-01-03 11:00:00,3.1,29.5,3.225,0.0,1020.5,93.3333
2023-01-03 11:00:00,2023-01-03 12:00:00,4.2,121.0,3.8,0.0,1021.17,92.0
2023-01-03 12:00:00,2023-01-03 13:00:00,5.13333,159.5,3.875,0.0,1021.25,88.0
2023-01-03 13:00:00,2023-01-03 14:00:00,5.9,153.5,4.2,0.0,1021.25,85.6667
2023-01-03 14:00:00,2023-01-03 15:00:00,6.16667,181.5,4.175,0.0,1021.15,82.6667
2023-01-03 15:00:00,2023-01-03 16:00:00,5.66667,96.5,3.6,0.0,1021.08,83.0
2023-01-03 16:00:00,2023-01-03 17:00:00,4.83333,29.5,2.65,0.0,1021.28,85.0
2023-01-03 17:00:00,2023-01-03 18:00:00,3.16667,0.5,2.65,0.0,1021.28,89.6667
2023-01-03 18:00:00,2023-01-03 19:00:00,2.4,0.0,2.925,0.0,1020.97,91.0
2023-01-03 19:00:00,2023-01-03 20:00:00,2.86667,0.0,3.5,0.0,1020.45,88.6667
2023-01-03 20:00:00,2023-01-03 21:00:00,2.56667,0.0,4.525,0.0,1019.83,88.6667
2023-01-03 21:00:00,2023-01-03 22:00:00,3.16667,0.0,5.0,0.0,1019.03,89.3333
2023-01-03 22:00:00,2023-01-03 23:00:00,3.8,0.0,5.025,0.0,1018.1,90.6667
2023-01-03 23:00:00,2023-01-04 00:00:00,4.33333,0.0,5.25,0.0933333,1017.08,93.3333
2023-01-04 00:00:00,2023-01-04 01:00:00,4.6,0.0,5.4,1.15333,1015.88,95.6667
