unixtime,hour_utc,hour_dk,area,temp_mean_past1h,radia_glob_past1h,wind_speed_past1h,precip_past1h,pressure,humidity_past1h,cloud_cover
1672527600,2023-01-01 00:00:00,2023-01-01 01:00:00,vestkyst,5.56667,0.0,3.0,0.5,997.489,98.3333,93.3333
1672531200,2023-01-01 01:00:00,2023-01-01 02:00:00,vestkyst,5.86667,0.0,3.7,0.7,997.194,98.3333,97.5
1672534800,2023-01-01 02:00:00,2023-01-01 03:00:00,vestkyst,6.2,0.0,5.9,0.866667,997.3,98.0,93.3333
1672538400,2023-01-01 03:00:00,2023-01-01 04:00:00,vestkyst,6.16667,0.0,5.63333,0.0333333,997.494,98.0,95.0
1672542000,2023-01-01 04:00:00,2023-01-01 05:00:00,vestkyst,6.13333,0.0,5.4,0.0,997.611,97.6667,96.6667
1672545600,2023-01-01 05:00:00,2023-01-01 06:00:00,vestkyst,6.03333,0.0,5.46667,0.0,998.033,97.3333,91.6667
1672549200,2023-01-01 06:00:00,2023-01-01 07:00:00,vestkyst,6.03333,0.0,4.86667,0.0,998.439,96.6667,95.0
1672552800,2023-01-01 07:00:00,2023-01-01 08:00:00,vestkyst,5.93333,0.0,4.2,0.0,998.878,96.3333,100.182
1672556400,2023-01-01 08:00:00,2023-01-01 09:00:00,vestkyst,6.0,0.0,4.76667,0.1,999.378,96.0,82.5
1672560000,2023-01-01 09:00:00,2023-01-01 10:00:00,vestkyst,6.96667,0.0,7.0,0.0333333,1000.22,92.3333,50.8333
1672563600,2023-01-01 10:00:00,2023-01-01 11:00:00,vestkyst,7.23333,6.5,7.73333,0.1,1001.15,88.6667,80.8333
1672567200,2023-01-01 11:00:00,2023-01-01 12:00:00,vestkyst,7.16667,44.0,8.36667,0.333333,1002.27,87.6667,58.1818
1672570800,2023-01-01 12:00:00,2023-01-01 13:00:00,vestkyst,7.06667,56.5,8.53333,0.433333,1002.75,87.6667,66.6667
1672574400,2023-01-01 13:00:00,2023-01-01 14:00:00,vestkyst,6.93333,69.5,8.1,0.9,1003.47,88.0,38.3333
1672578000,2023-01-01 14:00:00,2023-01-01 15:00:00,vestkyst,7.03333,75.5,8.13333,0.4,1004.08,87.0,56.6667
