hour_utc,hour_dk,temp_mean_past1h,radia_glob_past1h,wind_speed_past1h,precip_past1h,pressure,humidity_past1h
2025-01-01 00:00:00,2025-01-01 01:00:00,7.1,0.0,12.375,0.966667,1000.78,92.25
2025-01-01 01:00:00,2025-01-01 02:00:00,7.16667,0.0,13.6667,,1000.63,92.6667
2025-01-01 02:00:00,2025-01-01 03:00:00,7.75,0.0,12.025,1.83333,999.075,92.5
2025-01-01 03:00:00,2025-01-01 04:00:00,8.125,0.0,12.375,2.3,998.175,92.0
2025-01-01 04:00:00,2025-01-01 05:00:00,8.375,0.0,12.9,1.8,997.2,91.5
2025-01-01 05:00:00,2025-01-01 06:00:00,8.425,0.0,12.35,1.46667,996.525,91.5
2025-01-01 06:00:00,2025-01-01 07:00:00,8.475,0.0,11.875,1.0,995.675,91.75
2025-01-01 07:00:00,2025-01-01 08:00:00,8.45,0.0,11.95,0.733333,994.925,91.75
2025-01-01 08:00:00,2025-01-01 09:00:00,8.45,0.0,11.3,0.8,994.15,92.25
2025-01-01 09:00:00,2025-01-01 10:00:00,8.55,0.0,11.7,1.4,993.55,91.75
2025-01-01 10:00:00,2025-01-01 11:00:00,8.475,2.0,12.475,1.9,993.025,91.75
2025-01-01 11:00:00,2025-01-01 12:00:00,8.375,5.5,12.825,2.16667,992.175,92.0
2025-01-01 12:00:00,2025-01-01 13:00:00,8.525,9.0,14.825,2.13333,990.575,91.0
2025-01-01 13:00:00,2025-01-01 14:00:00,8.5,9.5,15.7,1.33333,989.35,90.25
2025-01-01 14:00:00,2025-01-01 15:00:00,8.5,9.5,16.775,1.3,987.95,89.75
2025-01-01 15:00:00,2025-01-01 16:00:00,8.35,7.0,15.125,0.966667,987.65,90.75
2025-01-01 16:00:00,2025-01-01 17:00:00,7.425,3.0,11.925,0.4,988.925,90.0
2025-01-01 17:00:00,2025-01-01 18:00:00,6.625,0.0,8.5,0.0333333,989.25,90.5
2025-01-01 18:00:00,2025-01-01 19:00:00,6.575,0.0,8.475,0.0,989.25,89.75
2025-01-01 19:00:00,2025-01-01 20:00:00,6.675,0.0,9.575,0.166667,989.45,87.75
2025-01-01 20:00:00,2025-01-01 21:00:00,6.275,0.0,9.075,0.266667,989.975,89.0
2025-01-01 21:00:00,2025-01-01 22:00:00,5.85,0.0,7.5,0.0333333,990.65,87.5
2025-01-01 22:00:00,2025-01-01 23:00:00,5.225,0.0,6.6,0.0,991.325,84.25
2025-01-01 23:00:00,2025-01-02 00:00:00,4.35,0.0,6.55,0.0,992.25,77.0
2025-01-02 00:00:00,2025-01-02 01:00:00,3.75,0.0,5.625,0.0,993.05,76.0
2025-01-02 01:00:00,2025-01-02 02:00:00,3.475,0.0,5.075,0.0,993.575,76.25
2025-01-02 02:00:00,2025-01-02 03:00:00,2.95,0.0,5.725,0.0333333,994.325,75.25
2025-01-02 03:00:00,2025-01-02 04:00:00,2.35,0.0,6.65,0.0,995.6,78.0
2025-01-02 04:00:00,2025-01-02 05:00:00,1.2,0.0,5.6,0.0333333,996.0,84.3333
2025-01-02 05:00:00,2025-01-02 06:00:00,1.25,0.0,6.075,0.0,998.1,81.0
2025-01-02 06:00:00,2025-01-02 07:00:00,0.575,0.0,5.725,0.0,999.05,80.0
2025-01-02 07:00:00,2025-01-02 08:00:00,0.125,0.0,4.9,0.0,999.95,79.25
2025-01-02 08:00:00,2025-01-02 09:00:00,-0.225,0.0,3.925,0.0,1000.8,80.25
2025-01-02 09:00:00,2025-01-02 10:00:00,-0.325,0.0,3.425,0.0,1001.78,79.0
2025-01-02 10:00:00,2025-01-02 11:00:00,-0.2,37.5,3.3,0.0,1002.65,77.75
2025-01-02 11:00:00,2025-01-02 12:00:00,0.35,109.5,3.075,0.0,1003.3,77.25
2025-01-02 12:00:00,2025-01-02 13:00:00,1.125,162.0,3.55,0.0,1003.12,73.5
2025-01-02 13:00:00,2025-01-02 14:00:00,1.9,177.5,3.85,0.0,1003.0,70.75
2025-01-02 14:00:00,2025-01-02 15:00:00,2.625,154.5,4.025,0.0,1002.65,67.25
2025-01-02 15:00:00,2025-01-02 16:00:00,2.8,93.5,4.5,0.0,1002.6,68.0
2025-01-02 16:00:00,2025-01-02 17:00:00,1.975,23.0,4.325,0.0,1002.65,77.25
2025-01-02 17:00:00,2025-01-02 18:00:00,1.5,0.0,4.5,0.0,1003.0,86.25
2025-01-02 18:00:00,2025-01-02 19:00:00,1.25,0.0,4.675,0.0,1003.38,89.25
2025-01-02 19:00:00,2025-01-02 20:00:00,0.95,0.0,4.275,0.0,1003.65,89.75
2025-01-02 20:00:00,2025-01-02 21:00:00,0.675,0.0,4.725,0.0,1004.3,89.25
2025-01-02 21:00:00,2025-01-02 22:00:00,0.4,0.0,4.275,0.0,1004.42,87.5
2025-01-02 22:00:00,2025-01-02 23:00:00,0.35,0.0,4.225,0.0,1004.8,85.0
2025-01-02 23:00:00,2025-01-03 00:00:00,0.1,0.0,4.475,0.0,1005.03,86.25
2025-01-03 00:00:00,2025-01-03 01:00:00,-0.125,0.0,4.625,0.0,1005.08,87.5
2025-01-03 01:00:00,2025-01-03 02:00:00,-0.125,0.0,4.85,0.0,1004.83,88.75
2025-01-03 02:00:00,2025-01-03 03:00:00,-0.375,0.0,4.35,0.0,1004.38,90.5
2025-01-03 03:00:00,2025-01-03 04:00:00,-0.525,0.0,4.65,0.0,1003.62,91.75
2025-01-03 04:00:00,2025-01-03 05:00:00,-0.15,0.0,5.975,0.0666667,1002.4,91.75
2025-01-03 05:00:00,2025-01-03 06:00:00,0.125,0.0,6.675,0.0,1001.28,91.5
2025-01-03 06:00:00,2025-01-03 07:00:00,0.725,0.0,7.9,0.0333333,999.375,87.5
2025-01-03 07:00:00,2025-01-03 08:00:00,1.375,0.0,9.675,0.1,998.175,85.75
2025-01-03 08:00:00,2025-01-03 09:00:00,1.0,0.0,9.075,0.5,998.25,91.5
2025-01-03 09:00:00,2025-01-03 10:00:00,0.4,0.0,6.75,0.0,999.175,91.25
2025-01-03 10:00:00,2025-01-03 11:00:00,0.0,19.0,7.275,0.0,999.95,80.25
2025-01-03 11:00:00,2025-01-03 12:00:00,-0.175,99.5,7.175,0.0,1000.67,70.25
2025-01-03 12:00:00,2025-01-03 13:00:00,-0.175,168.5,8.025,0.0,1001.58,60.25
2025-01-03 13:00:00,2025-01-03 14:00:00,-0.25,182.5,7.725,0.1,1002.15,54.0
2025-01-03 14:00:00,2025-01-03 15:00:00,-0.025,159.5,6.7,0.1,1002.58,55.25
2025-01-03 15:00:00,2025-01-03 16:00:00,0.475,99.5,6.55,0.0,1003.1,59.75
2025-01-03 16:00:00,2025-01-03 17:00:00,0.325,26.0,6.25,0.0,1003.75,65.75
2025-01-03 17:00:00,2025-01-03 18:00:00,-0.075,0.0,5.875,0.0,1004.35,71.0
2025-01-03 18:00:00,2025-01-03 19:00:00,-0.4,0.0,5.575,0.0,1005.08,74.5
2025-01-03 19:00:00,2025-01-03 20:00:00,-0.4,0.0,6.2,0.0,1005.75,78.25
2025-01-03 20:00:00,2025-01-03 21:00:00,-0.625,0.0,5.925,0.0,1006.5,81.75
2025-01-03 21:00:00,2025-01-03 22:00:00,-1.025,0.0,5.55,0.0,1007.35,83.5
2025-01-03 22:00:00,2025-01-03 23:00:00,-1.275,0.0,4.575,0.0,1008.42,82.5
2025-01-03 23:00:00,2025-01-04 00:00:00,-1.65,0.0,3.625,0.0,1009.47,84.25
2025-01-04 00:00:00,2025-01-04 01:00:00,-1.6,0.0,3.1,0.0,1010.33,81.75
2025-01-04 01:00:00,2025-01-04 02:00:00,-2.175,0.0,2.35,0.0,1011.05,82.0
