TimeUTC,TimeDK,PriceArea,SatisfiedDemand,ImbalancePriceEUR,ImbalancePriceDKK,SpotPriceEUR,DominatingDirection,aFRRUpMW,aFRRVWAUpEUR,aFRRVWAUpDKK,aFRRDownMW,aFRRVWADownEUR,aFRRVWADownDKK,mFRRMarginalPriceUpEUR,mFRRMarginalPriceUpDKK,mFRRMarginalPriceDownEUR,mFRRMarginalPriceDownDKK
2025-03-04 12:00:00,2025-03-04T13:00:00,DK1,-186.0,-4.63,-34.53,4.04,-1.0,0.0,0.0,0.0,-22.27,-12.47,-93.01,4.04,30.13,-4.63,-34.53
2025-03-04 12:15:00,2025-03-04T13:15:00,DK1,-117.0,-4.63,-34.53,4.04,-1.0,0.0,0.0,0.0,-31.08,-26.23,-195.65,4.04,30.13,-4.63,-34.53
2025-03-04 12:30:00,2025-03-04T13:30:00,DK1,-194.0,-4.63,-34.53,4.04,-1.0,0.0,0.0,0.0,-27.68,-16.89,-125.98,4.04,30.13,-4.63,-34.53
2025-03-04 12:45:00,2025-03-04T13:45:00,DK1,-257.0,-4.63,-34.53,4.04,-1.0,0.0,0.0,0.0,-9.81,-4.93,-36.77,4.04,30.13,-4.63,-34.53
2025-03-04 13:00:00,2025-03-04T14:00:00,DK1,-283.0,10.11,75.41,10.11,-1.0,0.0,0.0,0.0,-15.85,-12.92,-96.37,28.0,208.85,10.11,75.41
2025-03-04 13:15:00,2025-03-04T14:15:00,DK1,53.0,10.11,75.41,10.11,1.0,0.0,0.0,0.0,-15.27,-20.74,-154.7,28.0,208.85,10.11,75.41
2025-03-04 13:30:00,2025-03-04T14:30:00,DK1,-17.0,10.11,75.41,10.11,-1.0,0.0,14.85,110.76,-3.39,5.31,39.61,28.0,208.85,10.11,75.41
2025-03-04 13:45:00,2025-03-04T14:45:00,DK1,128.0,10.11,75.41,10.11,1.0,0.0,0.0,0.0,-8.55,-0.71,-5.3,28.0,208.85,10.11,75.41
2025-03-04 14:00:00,2025-03-04T15:00:00,DK1,-173.0,30.07,224.29,30.07,-1.0,0.0,0.0,0.0,-20.13,-15.6,-116.36,30.07,224.29,-7.91,-59.0
2025-03-04 14:15:00,2025-03-04T15:15:00,DK1,-113.0,30.07,224.29,30.07,-1.0,0.0,0.0,0.0,-21.04,-15.17,-113.15,30.07,224.29,-7.91,-59.0
2025-03-04 14:30:00,2025-03-04T15:30:00,DK1,-142.0,30.07,224.29,30.07,-1.0,0.77,73.6,548.98,-3.43,11.43,85.26,30.07,224.29,-7.91,-59.0
2025-03-04 14:45:00,2025-03-04T15:45:00,DK1,-73.0,30.07,224.29,30.07,-1.0,0.17,73.71,549.8,-1.34,22.1,164.84,30.07,224.29,-7.91,-59.0
2025-03-04 15:00:00,2025-03-04T16:00:00,DK1,-507.0,50.0,372.94,50.0,-1.0,1.32,148.56,1108.09,-9.64,-6.97,-51.99,50.0,372.94,10.06,75.04
2025-03-04 15:15:00,2025-03-04T16:15:00,DK1,-479.0,50.0,372.94,50.0,-1.0,8.45,85.17,635.27,-0.46,20.73,154.62,50.0,372.94,10.06,75.04
2025-03-04 15:30:00,2025-03-04T16:30:00,DK1,-313.0,50.0,372.94,50.0,-1.0,2.33,56.48,421.28,-2.0,16.12,120.24,50.0,372.94,10.06,75.04
2025-03-04 15:45:00,2025-03-04T16:45:00,DK1,-260.0,50.0,372.94,50.0,-1.0,0.0,56.89,424.34,-5.79,8.4,62.65,50.0,372.94,10.06,75.04
2025-03-04 16:00:00,2025-03-04T17:00:00,DK1,-301.0,74.91,558.75,74.91,-1.0,0.0,0.0,0.0,-7.32,6.6,49.23,74.91,558.75,31.5,234.96
2025-03-04 16:15:00,2025-03-04T17:15:00,DK1,-226.0,74.91,558.75,74.91,-1.0,0.0,65.94,491.84,-9.87,-0.14,-1.04,74.91,558.75,31.5,234.96
2025-03-04 16:30:00,2025-03-04T17:30:00,DK1,-261.0,74.91,558.75,74.91,-1.0,5.21,155.08,1156.73,-0.19,36.85,274.86,74.91,558.75,31.5,234.96
2025-03-04 16:45:00,2025-03-04T17:45:00,DK1,-237.0,74.91,558.75,74.91,-1.0,6.74,105.42,786.32,0.0,0.0,0.0,74.91,558.75,31.5,234.96
2025-03-04 17:00:00,2025-03-04T18:00:00,DK1,-39.0,136.47,1017.92,64.54,-1.0,0.3,79.14,590.3,-9.31,-6.04,-45.05,136.47,1017.92,34.0,253.6
2025-03-04 17:15:00,2025-03-04T18:15:00,DK1,-19.0,136.47,1017.92,64.54,-1.0,0.0,0.0,0.0,-31.15,-25.06,-186.92,136.47,1017.92,34.0,253.6
2025-03-04 17:30:00,2025-03-04T18:30:00,DK1,-9.0,136.47,1017.92,64.54,-1.0,0.0,0.0,0.0,-37.33,-43.38,-323.57,136.47,1017.92,34.0,253.6
2025-03-04 17:45:00,2025-03-04T18:45:00,DK1,-156.0,136.47,1017.92,64.54,-1.0,0.0,0.0,0.0,-36.2,-38.66,-288.36,136.47,1017.92,34.0,253.6
2025-03-04 18:00:00,2025-03-04T19:00:00,DK1,-51.0,31.5,234.96,42.31,-1.0,0.0,0.0,0.0,-9.62,-2.02,-15.07,42.31,315.59,31.5,234.96
2025-03-04 18:15:00,2025-03-04T19:15:00,DK1,-138.0,31.5,234.96,42.31,-1.0,0.0,0.0,0.0,-1.33,22.55,168.2,42.31,315.59,31.5,234.96
2025-03-04 18:30:00,2025-03-04T19:30:00,DK1,-212.0,31.5,234.96,42.31,-1.0,4.68,69.89,521.3,-0.03,44.29,330.35,42.31,315.59,31.5,234.96
2025-03-04 18:45:00,2025-03-04T19:45:00,DK1,-214.0,31.5,234.96,42.31,-1.0,0.01,19.74,147.24,-5.72,-9.13,-68.1,42.31,315.59,31.5,234.96
2025-03-04 19:00:00,2025-03-04T20:00:00,DK1,-195.0,27.0,201.39,29.85,-1.0,1.99,83.87,625.58,-4.28,-8.3,-61.91,29.85,222.65,27.0,201.39
2025-03-04 19:15:00,2025-03-04T20:15:00,DK1,-76.0,27.0,201.39,29.85,-1.0,0.13,56.52,421.58,-3.43,10.12,75.48,29.85,222.65,27.0,201.39
2025-03-04 19:30:00,2025-03-04T20:30:00,DK1,22.0,27.0,201.39,29.85,1.0,0.0,0.0,0.0,-28.46,-36.1,-269.27,29.85,222.65,27.0,201.39
2025-03-04 19:45:00,2025-03-04T20:45:00,DK1,-34.0,27.0,201.39,29.85,-1.0,0.0,0.0,0.0,-37.32,-46.4,-346.09,29.85,222.65,27.0,201.39
2025-03-04 20:00:00,2025-03-04T21:00:00,DK1,86.0,37.0,275.98,25.33,1.0,0.0,0.0,0.0,-37.05,-42.34,-315.81,37.0,275.98,25.33,188.93
2025-03-04 20:15:00,2025-03-04T21:15:00,DK1,33.0,37.0,275.98,25.33,1.0,0.0,0.0,0.0,-33.14,-31.17,-232.49,37.0,275.98,25.33,188.93
2025-03-04 20:30:00,2025-03-04T21:30:00,DK1,82.0,37.0,275.98,25.33,1.0,0.0,0.0,0.0,-37.34,-46.93,-350.05,37.0,275.98,25.33,188.93
2025-03-04 20:45:00,2025-03-04T21:45:00,DK1,42.0,37.0,275.98,25.33,1.0,0.0,0.0,0.0,-37.23,-43.97,-327.97,37.0,275.98,25.33,188.93
2025-03-04 21:00:00,2025-03-04T22:00:00,DK1,239.0,73.21,546.07,25.52,1.0,0.0,0.0,0.0,-25.73,-21.14,-157.68,73.21,546.07,25.52,190.35
2025-03-04 21:15:00,2025-03-04T22:15:00,DK1,217.0,73.21,546.07,25.52,1.0,0.0,0.0,0.0,-35.48,-34.03,-253.83,73.21,546.07,25.52,190.35
2025-03-04 21:30:00,2025-03-04T22:30:00,DK1,215.0,73.21,546.07,25.52,1.0,0.0,0.0,0.0,-37.33,-42.04,-313.57,73.21,546.07,25.52,190.35
2025-03-04 21:45:00,2025-03-04T22:45:00,DK1,129.0,73.21,546.07,25.52,1.0,0.0,0.0,0.0,-37.39,-46.93,-350.05,73.21,546.07,25.52,190.35
2025-03-04 22:00:00,2025-03-04T23:00:00,DK1,180.0,121.82,908.64,20.69,1.0,0.0,0.0,0.0,-19.88,-33.92,-253.01,121.82,908.64,20.69,154.32
2025-03-04 22:15:00,2025-03-04T23:15:00,DK1,243.0,121.82,908.64,20.69,1.0,0.0,0.0,0.0,-32.24,-58.44,-435.9,121.82,908.64,20.69,154.32
2025-03-04 22:30:00,2025-03-04T23:30:00,DK1,233.0,121.82,908.64,20.69,1.0,0.0,0.0,0.0,-37.36,-111.52,-831.82,121.82,908.64,20.69,154.32
2025-03-04 22:45:00,2025-03-04T23:45:00,DK1,182.0,121.82,908.64,20.69,1.0,0.0,0.0,0.0,-37.43,-664.88,-4959.27,121.82,908.64,20.69,154.32
2025-03-04 23:00:00,2025-03-05T00:00:00,DK1,-135.0,-12.07,-90.03,23.21,-1.0,0.0,0.0,0.0,-8.35,-64.1,-478.12,23.21,173.12,-12.07,-90.03
2025-03-04 23:15:00,2025-03-05T00:15:00,DK1,-319.0,-12.07,-90.03,23.21,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.21,173.12,-12.07,-90.03
2025-03-04 23:30:00,2025-03-05T00:30:00,DK1,-245.0,-12.07,-90.03,23.21,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.21,173.12,-12.07,-90.03
2025-03-04 23:45:00,2025-03-05T00:45:00,DK1,-210.0,-12.07,-90.03,23.21,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.21,173.12,-12.07,-90.03
2025-03-05 00:00:00,2025-03-05T01:00:00,DK1,-452.0,-11.03,-82.27,22.87,-1.0,1.02,15.99,119.27,-0.07,24.56,183.19,22.87,170.59,-11.03,-82.27
2025-03-05 00:15:00,2025-03-05T01:15:00,DK1,-460.0,-11.03,-82.27,22.87,-1.0,8.62,71.76,535.25,0.0,18.04,134.56,22.87,170.59,-11.03,-82.27
2025-03-05 00:30:00,2025-03-05T01:30:00,DK1,-426.0,-11.03,-82.27,22.87,-1.0,0.12,17.38,129.64,-4.49,0.05,0.37,22.87,170.59,-11.03,-82.27
2025-03-05 00:45:00,2025-03-05T01:45:00,DK1,-430.0,-11.03,-82.27,22.87,-1.0,0.0,0.0,0.0,-12.86,-7.94,-59.22,22.87,170.59,-11.03,-82.27
2025-03-05 01:00:00,2025-03-05T02:00:00,DK1,-503.0,-19.0,-141.72,21.31,-1.0,1.19,55.38,413.07,-1.34,19.66,146.64,21.31,158.95,-19.0,-141.72
2025-03-05 01:15:00,2025-03-05T02:15:00,DK1,-470.0,-19.0,-141.72,21.31,-1.0,0.0,0.0,0.0,-2.73,0.22,1.64,21.31,158.95,-19.0,-141.72
