TimeUTC,TimeDK,PriceArea,mFRRSAUpReqMW,mFRRSAUpEUR,mFRRSADownReqMW,mFRRSADownEUR,mFRRDAUpMW,mFRRDAUpEUR,mFRRDADownMW,mFRRDADownEUR,TotalmFRRUpMW,TotalmFRRDownMW,mFRROfferedUpMW,mFRROfferedDownMW,mFRRLocalUpMW,mFRRLocalDownMW,mFRRSpecialUpMW,mFRRSpecialDownMW
2026-01-01 00:00:00,2026-01-01T01:00:00,DK2,,60.0,284.0,-1.0,,,,,0,284,457,812,,11.0,,
2026-01-01 00:15:00,2026-01-01T01:15:00,DK2,,48.89,299.0,1.0,,,,,0,299,457,863,,7.0,,
2026-01-01 00:30:00,2026-01-01T01:30:00,DK2,,36.73,262.0,0.0,,,,,0,262,457,916,,36.0,,
2026-01-01 00:45:00,2026-01-01T01:45:00,DK2,,23.93,164.0,4.0,,,,,0,164,457,917,,32.0,,
2026-01-01 01:00:00,2026-01-01T02:00:00,DK2,,36.0,208.0,3.0,,,,,0,208,487,928,,1.0,,
2026-01-01 01:15:00,2026-01-01T02:15:00,DK2,,19.92,212.0,4.0,,,,,0,212,487,950,,1.0,,
2026-01-01 01:30:00,2026-01-01T02:30:00,DK2,,14.99,167.0,-1.0,,,,,0,167,487,961,,5.0,,
2026-01-01 01:45:00,2026-01-01T02:45:00,DK2,,7.36,183.0,-10.0,,,,,0,183,490,966,,63.0,,
2026-01-01 02:00:00,2026-01-01T03:00:00,DK2,,10.02,171.0,4.0,,,,,0,171,511,968,,1.0,,
2026-01-01 02:15:00,2026-01-01T03:15:00,DK2,,6.75,215.0,-10.0,,,,,0,215,511,969,,135.0,,
2026-01-01 02:30:00,2026-01-01T03:30:00,DK2,,4.4,99.0,0.0,,,,,0,99,552,929,,5.0,,
2026-01-01 02:45:00,2026-01-01T03:45:00,DK2,,3.97,171.0,-1.5,,,,,0,171,776,313,,5.0,,
2026-01-01 03:00:00,2026-01-01T04:00:00,DK2,,7.05,,4.5,,,,,0,0,742,340,,,,
2026-01-01 03:15:00,2026-01-01T04:15:00,DK2,,4.3,271.0,4.0,,,,,0,271,741,340,,1.0,,
2026-01-01 03:30:00,2026-01-01T04:30:00,DK2,,3.48,237.0,-1.0,,,,,0,237,771,309,,5.0,,
2026-01-01 03:45:00,2026-01-01T04:45:00,DK2,,3.05,256.0,-10.0,,,,,0,256,771,309,,22.0,,
2026-01-01 04:00:00,2026-01-01T05:00:00,DK2,,3.06,360.0,-5.0,,,,,0,360,771,311,,5.0,,
2026-01-01 04:15:00,2026-01-01T05:15:00,DK2,29.0,2.38,,0.0,,,,,29,0,771,311,,1.0,,
2026-01-01 04:30:00,2026-01-01T05:30:00,DK2,85.0,2.39,,2.39,,,,,85,0,771,311,,,,
2026-01-01 04:45:00,2026-01-01T05:45:00,DK2,68.0,2.4,,1.0,,,,,68,0,770,311,,1.0,,
2026-01-01 05:00:00,2026-01-01T06:00:00,DK2,,4.73,,2.35,,,,,0,0,850,361,,,,
2026-01-01 05:15:00,2026-01-01T06:15:00,DK2,,10.0,,2.37,,,,,0,0,850,361,,,,
2026-01-01 05:30:00,2026-01-01T06:30:00,DK2,,2.86,33.0,1.0,,,,,0,33,850,362,,2.0,,
2026-01-01 05:45:00,2026-01-01T06:45:00,DK2,,4.71,79.0,3.69,,,,,0,79,850,363,,,,
2026-01-01 06:00:00,2026-01-01T07:00:00,DK2,,2.37,87.0,-1.98,,,,,0,87,852,314,,5.0,,
2026-01-01 06:15:00,2026-01-01T07:15:00,DK2,,2.4,124.0,-1.94,,,,,0,124,852,314,,5.0,,
2026-01-01 06:30:00,2026-01-01T07:30:00,DK2,,3.02,113.0,1.0,,,,,0,113,852,362,,2.0,,
2026-01-01 06:45:00,2026-01-01T07:45:00,DK2,,3.65,123.0,1.0,,,,,0,123,852,362,,27.0,,
2026-01-01 07:00:00,2026-01-01T08:00:00,DK2,,2.4,169.0,-6.7,,,,,0,169,857,313,,24.0,,
2026-01-01 07:15:00,2026-01-01T08:15:00,DK2,,3.27,217.0,-5.0,,,,,0,217,857,313,,5.0,,
2026-01-01 07:30:00,2026-01-01T08:30:00,DK2,,3.57,202.0,-1.0,,,,,0,202,857,362,,6.0,,
2026-01-01 07:45:00,2026-01-01T08:45:00,DK2,,3.66,181.0,-1.0,,,,,0,181,857,362,,6.0,,
2026-01-01 08:00:00,2026-01-01T09:00:00,DK2,,3.54,192.0,-5.0,,,,,0,192,857,362,,6.0,,
2026-01-01 08:15:00,2026-01-01T09:15:00,DK2,,3.54,186.0,-5.0,,,,,0,186,857,363,,6.0,,
2026-01-01 08:30:00,2026-01-01T09:30:00,DK2,,3.73,131.0,-1.94,,,,,0,131,857,366,,31.0,,
2026-01-01 08:45:00,2026-01-01T09:45:00,DK2,,4.28,165.0,0.0,,,,,0,165,826,397,,27.0,,
2026-01-01 09:00:00,2026-01-01T10:00:00,DK2,,4.32,155.0,-5.0,,,,,0,155,821,334,,6.0,,
2026-01-01 09:15:00,2026-01-01T10:15:00,DK2,,4.33,138.0,0.0,,,,,0,138,821,336,,6.0,,
2026-01-01 09:30:00,2026-01-01T10:30:00,DK2,,4.36,125.0,4.09,,,,,0,125,821,337,,2.0,,
2026-01-01 09:45:00,2026-01-01T10:45:00,DK2,,4.37,55.0,1.0,,,,,0,55,821,339,,27.0,,
2026-01-01 10:00:00,2026-01-01T11:00:00,DK2,,4.4,143.0,-5.0,,,,,0,143,554,588,,5.0,,
2026-01-01 10:15:00,2026-01-01T11:15:00,DK2,,4.68,157.0,-1.5,,,,,0,157,544,708,,5.0,,
2026-01-01 10:30:00,2026-01-01T11:30:00,DK2,,5.34,168.0,-1.0,,,,,0,168,544,867,,5.0,,
2026-01-01 10:45:00,2026-01-01T11:45:00,DK2,,5.2,155.0,-4.0,,,,,0,155,544,597,,5.0,,
2026-01-01 11:00:00,2026-01-01T12:00:00,DK2,,4.8,136.0,-5.0,,,,,0,136,549,597,,5.0,,
2026-01-01 11:15:00,2026-01-01T12:15:00,DK2,,5.05,110.0,-2.13,,,,,0,110,549,678,,5.0,,
2026-01-01 11:30:00,2026-01-01T12:30:00,DK2,,5.14,103.0,-1.0,,,,,0,103,549,672,,5.0,,
2026-01-01 11:45:00,2026-01-01T12:45:00,DK2,,5.39,117.0,-5.0,,,,,0,117,549,829,,5.0,,
2026-01-01 12:00:00,2026-01-01T13:00:00,DK2,,5.73,148.0,-5.0,,,,,0,148,549,883,,7.0,,
2026-01-01 12:15:00,2026-01-01T13:15:00,DK2,,6.68,99.0,-1.0,,,,,0,99,524,906,,7.0,,
2026-01-01 12:30:00,2026-01-01T13:30:00,DK2,,6.69,76.0,5.5,,,,,0,76,524,915,,3.0,,
2026-01-01 12:45:00,2026-01-01T13:45:00,DK2,,7.05,127.0,-1.0,,,,,0,127,508,930,,7.0,,
2026-01-01 13:00:00,2026-01-01T14:00:00,DK2,,7.55,,-1.0,,,,,0,0,508,868,,7.0,,
2026-01-01 13:15:00,2026-01-01T14:15:00,DK2,54.0,9.31,,9.26,,,,,54,0,508,866,,,,
2026-01-01 13:30:00,2026-01-01T14:30:00,DK2,,10.6,,-5.0,,,,,0,0,505,849,,7.0,,
2026-01-01 13:45:00,2026-01-01T14:45:00,DK2,,12.43,,0.0,,,,,0,0,487,866,,7.0,,
2026-01-01 14:00:00,2026-01-01T15:00:00,DK2,,11.0,30.0,11.0,,,,,0,30,486,865,,114.0,,
2026-01-01 14:15:00,2026-01-01T15:15:00,DK2,,15.41,63.0,-10.0,,,,,0,63,486,861,,26.0,,
2026-01-01 14:30:00,2026-01-01T15:30:00,DK2,,15.55,67.0,-1.0,,,,,0,67,486,859,,7.0,,
2026-01-01 14:45:00,2026-01-01T15:45:00,DK2,,18.71,85.0,-10.04,,,,,0,85,496,857,,155.0,,
2026-01-01 15:00:00,2026-01-01T16:00:00,DK2,,18.74,34.0,-1.0,,,,,0,34,462,859,,10.0,,
2026-01-01 15:15:00,2026-01-01T16:15:00,DK2,99.0,20.59,,-6.69,,,,,99,0,442,859,,21.0,,
2026-01-01 15:30:00,2026-01-01T16:30:00,DK2,,23.67,57.0,-6.69,,,,,0,57,442,860,,20.0,,
2026-01-01 15:45:00,2026-01-01T16:45:00,DK2,,30.64,67.0,3.35,,,,,0,67,442,859,,6.0,,
2026-01-01 16:00:00,2026-01-01T17:00:00,DK2,,26.46,158.0,-10.0,,,,,0,158,462,906,,55.0,,
2026-01-01 16:15:00,2026-01-01T17:15:00,DK2,,29.41,179.0,-10.0,,,,,0,179,462,902,,55.0,,
2026-01-01 16:30:00,2026-01-01T17:30:00,DK2,,33.33,174.0,-10.0,,,,,0,174,462,906,,68.0,,
2026-01-01 16:45:00,2026-01-01T17:45:00,DK2,,32.49,130.0,-10.0,,,,,0,130,462,904,,55.0,,
2026-01-01 17:00:00,2026-01-01T18:00:00,DK2,,27.76,103.0,-1.0,,,,,0,103,466,901,,60.0,,
2026-01-01 17:15:00,2026-01-01T18:15:00,DK2,,30.0,79.0,-1.0,,,,,0,79,466,901,,60.0,,
2026-01-01 17:30:00,2026-01-01T18:30:00,DK2,,22.91,124.0,0.54,,,,,0,124,466,901,,56.0,,
2026-01-01 17:45:00,2026-01-01T18:45:00,DK2,,19.14,132.0,-1.0,,,,,0,132,466,904,,62.0,,
2026-01-01 18:00:00,2026-01-01T19:00:00,DK2,,28.96,,-10.0,,,,,0,0,466,845,,26.0,,
2026-01-01 18:15:00,2026-01-01T19:15:00,DK2,,20.19,,9.0,,,,,0,0,466,845,,3.0,,
2026-01-01 18:30:00,2026-01-01T19:30:00,DK2,,21.76,,20.22,,,,,0,0,466,935,,50.0,,
2026-01-01 18:45:00,2026-01-01T19:45:00,DK2,68.0,50.0,,21.04,,,,,68,0,466,934,,,,
2026-01-01 19:00:00,2026-01-01T20:00:00,DK2,,23.31,,20.8,,,,,0,0,467,879,,,,
2026-01-01 19:15:00,2026-01-01T20:15:00,DK2,,22.63,,12.88,,,,,0,0,467,929,,52.0,,
2026-01-01 19:30:00,2026-01-01T20:30:00,DK2,65.0,51.23,,20.37,,,,,65,0,467,931,,,,
2026-01-01 19:45:00,2026-01-01T20:45:00,DK2,,43.76,,19.04,,,,,0,0,467,936,,,,
2026-01-01 20:00:00,2026-01-01T21:00:00,DK2,,20.53,26.0,5.36,,,,,0,26,443,886,,3.0,,
2026-01-01 20:15:00,2026-01-01T21:15:00,DK2,,18.84,,-10.0,,,,,0,0,443,886,,26.0,,
2026-01-01 20:30:00,2026-01-01T21:30:00,DK2,,50.1,47.0,16.24,,,,,0,47,443,886,,,,
2026-01-01 20:45:00,2026-01-01T21:45:00,DK2,,47.76,27.0,14.9,,,,,0,27,443,885,,,,
2026-01-01 21:00:00,2026-01-01T22:00:00,DK2,,15.66,,0.54,,,,,0,0,467,938,,53.0,,
2026-01-01 21:15:00,2026-01-01T22:15:00,DK2,,13.1,45.0,9.22,,,,,0,45,467,934,,53.0,,
2026-01-01 21:30:00,2026-01-01T22:30:00,DK2,,26.54,47.0,9.17,,,,,0,47,470,930,,,,
2026-01-01 21:45:00,2026-01-01T22:45:00,DK2,,5.89,26.0,5.86,,,,,0,26,509,897,,2.0,,
2026-01-01 22:00:00,2026-01-01T23:00:00,DK2,,32.0,59.0,6.35,,,,,0,59,504,867,,,,
2026-01-01 22:15:00,2026-01-01T23:15:00,DK2,,31.0,,6.17,,,,,0,0,504,866,9.0,,,
2026-01-01 22:30:00,2026-01-01T23:30:00,DK2,,22.0,34.0,6.82,,,,,0,34,498,910,,,,
2026-01-01 22:45:00,2026-01-01T23:45:00,DK2,,15.23,83.0,7.4,,,,,0,83,498,909,,,,
2026-01-01 23:00:00,2026-01-02T00:00:00,DK2,,15.17,43.0,-10.0,,,,,0,43,476,955,,88.0,,
2026-01-01 23:15:00,2026-01-02T00:15:00,DK2,,15.45,81.0,-15.56,,,,,0,81,476,955,,249.0,,
2026-01-01 23:30:00,2026-01-02T00:30:00,DK2,,15.07,81.0,-10.0,,,,,0,81,471,954,,66.0,,
2026-01-01 23:45:00,2026-01-02T00:45:00,DK2,,11.96,103.0,-10.0,,,,,0,103,466,952,,214.0,,
2026-01-02 00:00:00,2026-01-02T01:00:00,DK2,,13.08,,-10.04,,,,,0,0,466,898,,203.0,,
2026-01-02 00:15:00,2026-01-02T01:15:00,DK2,,11.91,39.0,-10.0,,,,,0,39,466,946,,53.0,,
2026-01-02 00:30:00,2026-01-02T01:30:00,DK2,,10.37,,9.38,,,,,0,0,466,943,,28.0,,
2026-01-02 00:45:00,2026-01-02T01:45:00,DK2,,40.0,,9.71,,,,,0,0,468,938,2.0,,,
2026-01-02 01:00:00,2026-01-02T02:00:00,DK2,,10.4,44.0,-10.0,,,,,0,44,491,909,,28.0,,
2026-01-02 01:15:00,2026-01-02T02:15:00,DK2,,46.86,,10.01,,,,,0,0,492,898,1.0,,,
2026-01-02 01:30:00,2026-01-02T02:30:00,DK2,28.0,43.0,,10.0,,,,,28,0,492,894,1.0,,,
2026-01-02 01:45:00,2026-01-02T02:45:00,DK2,87.0,35.86,,8.82,,,,,87,0,492,890,1.0,,,
2026-01-02 02:00:00,2026-01-02T03:00:00,DK2,,39.64,,7.95,,,,,0,0,480,865,1.0,,,
2026-01-02 02:15:00,2026-01-02T03:15:00,DK2,,44.0,,7.56,,,,,0,0,480,869,1.0,,,
2026-01-02 02:30:00,2026-01-02T03:30:00,DK2,,45.0,,6.96,,,,,0,0,481,896,2.0,,,
2026-01-02 02:45:00,2026-01-02T03:45:00,DK2,,7.49,111.0,-10.0,,,,,0,111,481,900,,54.0,,
2026-01-02 03:00:00,2026-01-02T04:00:00,DK2,,29.0,99.0,6.79,,,,,0,99,474,850,,,,
2026-01-02 03:15:00,2026-01-02T04:15:00,DK2,,37.7,87.0,6.77,,,,,0,87,467,882,3.0,,,
2026-01-02 03:30:00,2026-01-02T04:30:00,DK2,,45.0,104.0,6.87,,,,,0,104,467,889,3.0,,,
2026-01-02 03:45:00,2026-01-02T04:45:00,DK2,,50.0,127.0,9.81,,,,,0,127,467,894,8.0,,,
2026-01-02 04:00:00,2026-01-02T05:00:00,DK2,,39.0,163.0,9.73,,,,,0,163,432,899,3.0,,,
2026-01-02 04:15:00,2026-01-02T05:15:00,DK2,,14.47,167.0,13.67,,,,,0,167,429,893,,,,
2026-01-02 04:30:00,2026-01-02T05:30:00,DK2,,15.19,163.0,0.0,,,,,0,163,429,899,,48.0,,
2026-01-02 04:45:00,2026-01-02T05:45:00,DK2,,21.79,222.0,-5.0,,,,,0,222,429,900,,48.0,,
2026-01-02 05:00:00,2026-01-02T06:00:00,DK2,,12.1,200.0,-10.0,,,,,0,200,422,914,,184.0,,
2026-01-02 05:15:00,2026-01-02T06:15:00,DK2,40.0,21.29,,0.54,,,,,40,0,422,919,,82.0,,
2026-01-02 05:30:00,2026-01-02T06:30:00,DK2,,26.65,56.0,-2.0,,,,,0,56,421,908,,86.0,,
2026-01-02 05:45:00,2026-01-02T06:45:00,DK2,96.0,33.73,,9.22,,,,,96,0,425,902,,81.0,,
2026-01-02 06:00:00,2026-01-02T07:00:00,DK2,96.0,32.88,,6.5,,,,,96,0,427,821,,24.0,,
2026-01-02 06:15:00,2026-01-02T07:15:00,DK2,126.0,44.25,,12.07,,,,,126,0,427,817,,18.0,,
2026-01-02 06:30:00,2026-01-02T07:30:00,DK2,81.0,59.99,,43.59,,,,,81,0,425,881,,41.0,,
2026-01-02 06:45:00,2026-01-02T07:45:00,DK2,,66.67,,10.0,,,,,0,0,425,779,,20.0,,
2026-01-02 07:00:00,2026-01-02T08:00:00,DK2,,66.32,107.0,9.22,,,,,0,107,419,767,,18.0,,
2026-01-02 07:15:00,2026-01-02T08:15:00,DK2,,68.58,117.0,12.0,,,,,0,117,419,778,,18.0,,
2026-01-02 07:30:00,2026-01-02T08:30:00,DK2,,69.92,163.0,21.0,,,,,0,163,419,779,,10.0,,
2026-01-02 07:45:00,2026-01-02T08:45:00,DK2,,70.62,126.0,32.0,,,,,0,126,419,805,,10.0,,
2026-01-02 08:00:00,2026-01-02T09:00:00,DK2,,70.51,81.0,5.0,,,,,0,81,416,810,,28.0,,
2026-01-02 08:15:00,2026-01-02T09:15:00,DK2,,70.5,43.0,0.5,,,,,0,43,418,811,,26.0,,
2026-01-02 08:30:00,2026-01-02T09:30:00,DK2,,71.63,,71.63,,,,,0,0,418,814,,,,
2026-01-02 08:45:00,2026-01-02T09:45:00,DK2,,72.15,34.0,72.15,,,,,0,34,418,803,,,,
2026-01-02 09:00:00,2026-01-02T10:00:00,DK2,,73.85,,62.59,,,,,0,0,418,802,,,,
2026-01-02 09:15:00,2026-01-02T10:15:00,DK2,36.0,58.53,,58.53,,,,,36,0,418,808,,,,
2026-01-02 09:30:00,2026-01-02T10:30:00,DK2,26.0,55.35,,55.35,,,,,26,0,418,817,,,,
2026-01-02 09:45:00,2026-01-02T10:45:00,DK2,,334.72,,55.08,,,,,0,0,418,808,95.0,,,
2026-01-02 10:00:00,2026-01-02T11:00:00,DK2,,411.04,,53.87,,,30.0,53.87,0,30,418,818,117.0,30.0,,
2026-01-02 10:15:00,2026-01-02T11:15:00,DK2,51.0,57.71,,11.83,,,,,51,0,416,829,,22.0,,
2026-01-02 10:30:00,2026-01-02T11:30:00,DK2,228.0,57.35,,52.0,,,,,228,0,418,827,,,,
2026-01-02 10:45:00,2026-01-02T11:45:00,DK2,234.0,438.66,,54.78,,,,,234,0,416,804,159.0,,,
2026-01-02 11:00:00,2026-01-02T12:00:00,DK2,262.0,80.93,,54.82,,,,,262,0,428,797,,,,
2026-01-02 11:15:00,2026-01-02T12:15:00,DK2,194.0,76.0,,57.5,,,,,194,0,427,795,,,,
2026-01-02 11:30:00,2026-01-02T12:30:00,DK2,93.0,79.0,,59.99,,,,,93,0,428,791,,,,
2026-01-02 11:45:00,2026-01-02T12:45:00,DK2,,81.0,,59.69,,,,,0,0,428,764,,,,
2026-01-02 12:00:00,2026-01-02T13:00:00,DK2,,81.72,123.0,68.6,,,,,0,123,428,760,,,,
2026-01-02 12:15:00,2026-01-02T13:15:00,DK2,,87.78,123.0,65.83,,,,,0,123,428,760,,,,
2026-01-02 12:30:00,2026-01-02T13:30:00,DK2,,64.71,89.0,26.78,,,,,0,89,428,755,,10.0,,
2026-01-02 12:45:00,2026-01-02T13:45:00,DK2,,76.0,61.0,68.63,,,,,0,61,428,752,,,,
2026-01-02 13:00:00,2026-01-02T14:00:00,DK2,,65.51,,40.17,,,,,0,0,418,762,,10.0,,
2026-01-02 13:15:00,2026-01-02T14:15:00,DK2,,71.01,,50.0,,,,,0,0,418,756,,,,
2026-01-02 13:30:00,2026-01-02T14:30:00,DK2,,70.01,27.0,54.47,,,,,0,27,418,734,,,,
2026-01-02 13:45:00,2026-01-02T14:45:00,DK2,,73.95,129.0,22.0,,,,,0,129,418,723,,10.0,,
2026-01-02 14:00:00,2026-01-02T15:00:00,DK2,,69.63,192.0,10.0,,,,,0,192,423,717,,19.0,,
2026-01-02 14:15:00,2026-01-02T15:15:00,DK2,,81.57,133.0,76.93,,,,,0,133,406,762,,,,
2026-01-02 14:30:00,2026-01-02T15:30:00,DK2,,100.42,56.0,81.04,,,,,0,56,406,779,10.0,,,
2026-01-02 14:45:00,2026-01-02T15:45:00,DK2,33.0,93.73,,82.38,,,,,33,0,404,775,2.0,,,
2026-01-02 15:00:00,2026-01-02T16:00:00,DK2,145.0,87.03,,74.28,,,,,145,0,423,766,,,,
2026-01-02 15:15:00,2026-01-02T16:15:00,DK2,61.0,89.0,,81.85,,,,,61,0,404,763,,,,
2026-01-02 15:30:00,2026-01-02T16:30:00,DK2,,160.7,58.0,85.79,,,,,0,58,396,761,11.0,,,
2026-01-02 15:45:00,2026-01-02T16:45:00,DK2,,100.0,139.0,87.9,,,,,0,139,396,742,2.0,,,
2026-01-02 16:00:00,2026-01-02T17:00:00,DK2,,105.0,153.0,83.84,,,,,0,153,396,749,2.0,,,
2026-01-02 16:15:00,2026-01-02T17:15:00,DK2,,94.34,119.0,85.94,,,,,0,119,396,751,2.0,,,
2026-01-02 16:30:00,2026-01-02T17:30:00,DK2,30.0,275.0,,85.98,,,,,30,0,396,753,40.0,,,
2026-01-02 16:45:00,2026-01-02T17:45:00,DK2,109.0,569.92,,85.98,,,,,109,0,396,794,297.0,,,
2026-01-02 17:00:00,2026-01-02T18:00:00,DK2,169.0,736.39,,87.98,,,,,169,0,395,818,342.0,,,
2026-01-02 17:15:00,2026-01-02T18:15:00,DK2,46.0,468.65,,87.96,,,,,46,0,395,839,171.0,,,
2026-01-02 17:30:00,2026-01-02T18:30:00,DK2,,400.0,40.0,89.44,,,,,0,40,397,862,92.0,,,
2026-01-02 17:45:00,2026-01-02T18:45:00,DK2,,334.72,159.0,87.99,,,,,0,159,394,851,59.0,,,
