hour_utc,hour_dk,price_area,spot_price_dkk,spot_price_eur
2025-01-01 00:00:00,2025-01-01T01:00:00,DE,11.93,1.6
2025-01-01 01:00:00,2025-01-01T02:00:00,DE,0.0,0.0
2025-01-01 02:00:00,2025-01-01T03:00:00,DE,-0.07,-0.01
2025-01-01 03:00:00,2025-01-01T04:00:00,DE,-0.07,-0.01
2025-01-01 04:00:00,2025-01-01T05:00:00,DE,-0.45,-0.06
2025-01-01 05:00:00,2025-01-01T06:00:00,DE,-0.67,-0.09
2025-01-01 06:00:00,2025-01-01T07:00:00,DE,-0.07,-0.01
2025-01-01 07:00:00,2025-01-01T08:00:00,DE,-0.07,-0.01
2025-01-01 08:00:00,2025-01-01T09:00:00,DE,-0.3,-0.04
2025-01-01 09:00:00,2025-01-01T10:00:00,DE,-0.22,-0.03
2025-01-01 10:00:00,2025-01-01T11:00:00,DE,-0.75,-0.1
2025-01-01 11:00:00,2025-01-01T12:00:00,DE,-0.37,-0.05
2025-01-01 12:00:00,2025-01-01T13:00:00,DE,-0.75,-0.1
2025-01-01 13:00:00,2025-01-01T14:00:00,DE,-7.53,-1.01
2025-01-01 14:00:00,2025-01-01T15:00:00,DE,-0.07,-0.01
2025-01-01 15:00:00,2025-01-01T16:00:00,DE,-0.07,-0.01
2025-01-01 16:00:00,2025-01-01T17:00:00,DE,0.52,0.07
2025-01-01 17:00:00,2025-01-01T18:00:00,DE,7.53,1.01
2025-01-01 18:00:00,2025-01-01T19:00:00,DE,11.04,1.48
2025-01-01 19:00:00,2025-01-01T20:00:00,DE,7.46,1.0
2025-01-01 20:00:00,2025-01-01T21:00:00,DE,0.52,0.07
2025-01-01 21:00:00,2025-01-01T22:00:00,DE,74.949997,10.05
2025-01-01 22:00:00,2025-01-01T23:00:00,DE,52.279999,7.01
2025-01-01 23:00:00,2025-01-02T00:00:00,DE,19.02,2.55
2025-01-02 00:00:00,2025-01-02T01:00:00,DE,11.63,1.56
2025-01-02 01:00:00,2025-01-02T02:00:00,DE,25.73,3.45
2025-01-02 02:00:00,2025-01-02T03:00:00,DE,52.360001,7.02
2025-01-02 03:00:00,2025-01-02T04:00:00,DE,95.089996,12.75
2025-01-02 04:00:00,2025-01-02T05:00:00,DE,224.259995,30.07
2025-01-02 05:00:00,2025-01-02T06:00:00,DE,500.660004,67.129997
2025-01-02 06:00:00,2025-01-02T07:00:00,DE,737.080017,98.830002
2025-01-02 07:00:00,2025-01-02T08:00:00,DE,906.369995,121.529999
2025-01-02 08:00:00,2025-01-02T09:00:00,DE,948.880005,127.230003
2025-01-02 09:00:00,2025-01-02T10:00:00,DE,942.320007,126.349998
2025-01-02 10:00:00,2025-01-02T11:00:00,DE,894.73999,119.970001
2025-01-02 11:00:00,2025-01-02T12:00:00,DE,864.76001,115.949997
2025-01-02 12:00:00,2025-01-02T13:00:00,DE,849.469971,113.900002
2025-01-02 13:00:00,2025-01-02T14:00:00,DE,911.440002,122.209999
2025-01-02 14:00:00,2025-01-02T15:00:00,DE,970.359985,130.110001
2025-01-02 15:00:00,2025-01-02T16:00:00,DE,1033.609985,138.589996
2025-01-02 16:00:00,2025-01-02T17:00:00,DE,1140.109985,152.869995
2025-01-02 17:00:00,2025-01-02T18:00:00,DE,1140.630005,152.940002
2025-01-02 18:00:00,2025-01-02T19:00:00,DE,1037.780029,139.149994
2025-01-02 19:00:00,2025-01-02T20:00:00,DE,969.539978,130.0
2025-01-02 20:00:00,2025-01-02T21:00:00,DE,893.320007,119.779999
2025-01-02 21:00:00,2025-01-02T22:00:00,DE,845.890015,113.419998
2025-01-02 22:00:00,2025-01-02T23:00:00,DE,615.059998,82.470001
2025-01-02 23:00:00,2025-01-03T00:00:00,DE,742.570007,99.559998
2025-01-03 00:00:00,2025-01-03T01:00:00,DE,652.840027,87.529999
2025-01-03 01:00:00,2025-01-03T02:00:00,DE,634.049988,85.010002
2025-01-03 02:00:00,2025-01-03T03:00:00,DE,624.950012,83.790001
2025-01-03 03:00:00,2025-01-03T04:00:00,DE,578.039978,77.5
2025-01-03 04:00:00,2025-01-03T05:00:00,DE,595.789978,79.879997
2025-01-03 05:00:00,2025-01-03T06:00:00,DE,623.22998,83.559998
2025-01-03 06:00:00,2025-01-03T07:00:00,DE,584.969971,78.43
2025-01-03 07:00:00,2025-01-03T08:00:00,DE,615.849976,82.57
2025-01-03 08:00:00,2025-01-03T09:00:00,DE,602.349976,80.760002
2025-01-03 09:00:00,2025-01-03T10:00:00,DE,579.080017,77.639999
2025-01-03 10:00:00,2025-01-03T11:00:00,DE,525.679993,70.480003
2025-01-03 11:00:00,2025-01-03T12:00:00,DE,521.650024,69.940002
2025-01-03 12:00:00,2025-01-03T13:00:00,DE,580.27002,77.800003
2025-01-03 13:00:00,2025-01-03T14:00:00,DE,587.809998,78.809998
2025-01-03 14:00:00,2025-01-03T15:00:00,DE,636.140015,85.290001
2025-01-03 15:00:00,2025-01-03T16:00:00,DE,786.950012,105.510002
2025-01-03 16:00:00,2025-01-03T17:00:00,DE,870.109985,116.660004
2025-01-03 17:00:00,2025-01-03T18:00:00,DE,858.179993,115.059998
2025-01-03 18:00:00,2025-01-03T19:00:00,DE,857.059998,114.910004
2025-01-03 19:00:00,2025-01-03T20:00:00,DE,845.049988,113.300003
2025-01-03 20:00:00,2025-01-03T21:00:00,DE,804.030029,107.800003
2025-01-03 21:00:00,2025-01-03T22:00:00,DE,732.580017,98.220001
2025-01-03 22:00:00,2025-01-03T23:00:00,DE,660.599976,88.57
2025-01-03 23:00:00,2025-01-04T00:00:00,DE,674.609985,90.43
2025-01-04 00:00:00,2025-01-04T01:00:00,DE,673.570007,90.290001
2025-01-04 01:00:00,2025-01-04T02:00:00,DE,672.900024,90.199997
2025-01-04 02:00:00,2025-01-04T03:00:00,DE,682.73999,91.519997
2025-01-04 03:00:00,2025-01-04T04:00:00,DE,715.789978,95.949997
2025-01-04 04:00:00,2025-01-04T05:00:00,DE,761.73999,102.110001
2025-01-04 05:00:00,2025-01-04T06:00:00,DE,825.530029,110.660004
2025-01-04 06:00:00,2025-01-04T07:00:00,DE,894.909973,119.959999
2025-01-04 07:00:00,2025-01-04T08:00:00,DE,957.789978,128.389999
2025-01-04 08:00:00,2025-01-04T09:00:00,DE,975.400024,130.75
2025-01-04 09:00:00,2025-01-04T10:00:00,DE,972.340027,130.339996
2025-01-04 10:00:00,2025-01-04T11:00:00,DE,957.049988,128.289993
2025-01-04 11:00:00,2025-01-04T12:00:00,DE,970.030029,130.029999
2025-01-04 12:00:00,2025-01-04T13:00:00,DE,968.690002,129.850006
2025-01-04 13:00:00,2025-01-04T14:00:00,DE,1017.549988,136.399994
2025-01-04 14:00:00,2025-01-04T15:00:00,DE,1034.859985,138.720001
2025-01-04 15:00:00,2025-01-04T16:00:00,DE,1059.329956,142.0
2025-01-04 16:00:00,2025-01-04T17:00:00,DE,1128.26001,151.240005
2025-01-04 17:00:00,2025-01-04T18:00:00,DE,1073.130005,143.850006
2025-01-04 18:00:00,2025-01-04T19:00:00,DE,1029.189941,137.960007
2025-01-04 19:00:00,2025-01-04T20:00:00,DE,966.0,129.490005
2025-01-04 20:00:00,2025-01-04T21:00:00,DE,916.320007,122.830002
2025-01-04 21:00:00,2025-01-04T22:00:00,DE,882.450012,118.290001
2025-01-04 22:00:00,2025-01-04T23:00:00,DE,816.799988,109.489998
2025-01-04 23:00:00,2025-01-05T00:00:00,DE,849.070007,113.839996
2025-01-05 00:00:00,2025-01-05T01:00:00,DE,748.309998,100.330002
2025-01-05 01:00:00,2025-01-05T02:00:00,DE,698.190002,93.610001
2025-01-05 02:00:00,2025-01-05T03:00:00,DE,700.130005,93.870003
2025-01-05 03:00:00,2025-01-05T04:00:00,DE,666.640015,89.379997
2025-01-05 04:00:00,2025-01-05T05:00:00,DE,623.159973,83.550003
2025-01-05 05:00:00,2025-01-05T06:00:00,DE,625.919983,83.919998
2025-01-05 06:00:00,2025-01-05T07:00:00,DE,615.549988,82.529999
2025-01-05 07:00:00,2025-01-05T08:00:00,DE,626.890015,84.050003
2025-01-05 08:00:00,2025-01-05T09:00:00,DE,664.919983,89.150002
2025-01-05 09:00:00,2025-01-05T10:00:00,DE,618.679993,82.949997
2025-01-05 10:00:00,2025-01-05T11:00:00,DE,662.460022,88.82
2025-01-05 11:00:00,2025-01-05T12:00:00,DE,609.059998,81.660004
2025-01-05 12:00:00,2025-01-05T13:00:00,DE,584.669983,78.389999
2025-01-05 13:00:00,2025-01-05T14:00:00,DE,507.179993,68.0
2025-01-05 14:00:00,2025-01-05T15:00:00,DE,377.700012,50.639999
2025-01-05 15:00:00,2025-01-05T16:00:00,DE,372.25,49.91
2025-01-05 16:00:00,2025-01-05T17:00:00,DE,494.5,66.300003
2025-01-05 17:00:00,2025-01-05T18:00:00,DE,485.170013,65.050003
2025-01-05 18:00:00,2025-01-05T19:00:00,DE,382.470001,51.279999
2025-01-05 19:00:00,2025-01-05T20:00:00,DE,274.850006,36.849998
2025-01-05 20:00:00,2025-01-05T21:00:00,DE,274.470001,36.799999
2025-01-05 21:00:00,2025-01-05T22:00:00,DE,258.660004,34.68
2025-01-05 22:00:00,2025-01-05T23:00:00,DE,209.880005,28.139999
2025-01-05 23:00:00,2025-01-06T00:00:00,DE,205.259995,27.52
2025-01-06 00:00:00,2025-01-06T01:00:00,DE,143.649994,19.26
