hour_utc,hour_dk,price_area,spot_price_dkk,spot_price_eur
2024-01-01 00:00:00,2024-01-01T01:00:00,SE4,212.160004,28.459999
2024-01-01 01:00:00,2024-01-01T02:00:00,SE4,198.740005,26.66
2024-01-01 02:00:00,2024-01-01T03:00:00,SE4,182.490005,24.48
2024-01-01 03:00:00,2024-01-01T04:00:00,SE4,178.990005,24.01
2024-01-01 04:00:00,2024-01-01T05:00:00,SE4,158.259995,21.23
2024-01-01 05:00:00,2024-01-01T06:00:00,SE4,168.630005,22.620001
2024-01-01 06:00:00,2024-01-01T07:00:00,SE4,186.669998,25.040001
2024-01-01 07:00:00,2024-01-01T08:00:00,SE4,195.610001,26.24
2024-01-01 08:00:00,2024-01-01T09:00:00,SE4,240.119995,32.209999
2024-01-01 09:00:00,2024-01-01T10:00:00,SE4,308.179993,41.34
2024-01-01 10:00:00,2024-01-01T11:00:00,SE4,324.359985,43.509998
2024-01-01 11:00:00,2024-01-01T12:00:00,SE4,320.700012,43.02
2024-01-01 12:00:00,2024-01-01T13:00:00,SE4,330.170013,44.290001
2024-01-01 13:00:00,2024-01-01T14:00:00,SE4,344.709991,46.240002
2024-01-01 14:00:00,2024-01-01T15:00:00,SE4,377.290009,50.610001
2024-01-01 15:00:00,2024-01-01T16:00:00,SE4,443.329987,59.470001
2024-01-01 16:00:00,2024-01-01T17:00:00,SE4,484.480011,64.989998
2024-01-01 17:00:00,2024-01-01T18:00:00,SE4,460.26001,61.740002
2024-01-01 18:00:00,2024-01-01T19:00:00,SE4,410.529999,55.07
2024-01-01 19:00:00,2024-01-01T20:00:00,SE4,357.899994,48.009998
2024-01-01 20:00:00,2024-01-01T21:00:00,SE4,328.079987,44.009998
2024-01-01 21:00:00,2024-01-01T22:00:00,SE4,336.959991,45.200001
2024-01-01 22:00:00,2024-01-01T23:00:00,SE4,283.279999,38.0
2024-01-01 23:00:00,2024-01-02T00:00:00,SE4,283.279999,38.0
2024-01-02 00:00:00,2024-01-02T01:00:00,SE4,250.179993,33.560001
2024-01-02 01:00:00,2024-01-02T02:00:00,SE4,238.779999,32.029999
2024-01-02 02:00:00,2024-01-02T03:00:00,SE4,240.710007,32.290001
2024-01-02 03:00:00,2024-01-02T04:00:00,SE4,273.589996,36.700001
2024-01-02 04:00:00,2024-01-02T05:00:00,SE4,311.01001,41.720001
2024-01-02 05:00:00,2024-01-02T06:00:00,SE4,366.630005,49.18
2024-01-02 06:00:00,2024-01-02T07:00:00,SE4,437.970001,58.75
2024-01-02 07:00:00,2024-01-02T08:00:00,SE4,489.549988,65.669998
2024-01-02 08:00:00,2024-01-02T09:00:00,SE4,492.829987,66.110001
