hour_utc,hour_dk,price_area,spot_price_dkk,spot_price_eur
2024-01-01 00:00:00,2024-01-01T01:00:00,SYSTEM,263.600006,35.360001
2024-01-01 01:00:00,2024-01-01T02:00:00,SYSTEM,211.190002,28.33
2024-01-01 02:00:00,2024-01-01T03:00:00,SYSTEM,182.490005,24.48
2024-01-01 03:00:00,2024-01-01T04:00:00,SYSTEM,159.830002,21.440001
2024-01-01 04:00:00,2024-01-01T05:00:00,SYSTEM,153.490005,20.59
2024-01-01 05:00:00,2024-01-01T06:00:00,SYSTEM,155.949997,20.92
2024-01-01 06:00:00,2024-01-01T07:00:00,SYSTEM,181.970001,24.41
2024-01-01 07:00:00,2024-01-01T08:00:00,SYSTEM,185.770004,24.92
2024-01-01 08:00:00,2024-01-01T09:00:00,SYSTEM,215.369995,28.889999
2024-01-01 09:00:00,2024-01-01T10:00:00,SYSTEM,314.070007,42.130001
2024-01-01 10:00:00,2024-01-01T11:00:00,SYSTEM,333.679993,44.759998
2024-01-01 11:00:00,2024-01-01T12:00:00,SYSTEM,335.609985,45.02
2024-01-01 12:00:00,2024-01-01T13:00:00,SYSTEM,356.709991,47.849998
2024-01-01 13:00:00,2024-01-01T14:00:00,SYSTEM,391.899994,52.57
2024-01-01 14:00:00,2024-01-01T15:00:00,SYSTEM,439.230011,58.919998
2024-01-01 15:00:00,2024-01-01T16:00:00,SYSTEM,466.73999,62.610001
2024-01-01 16:00:00,2024-01-01T17:00:00,SYSTEM,481.950012,64.650002
2024-01-01 17:00:00,2024-01-01T18:00:00,SYSTEM,469.5,62.98
2024-01-01 18:00:00,2024-01-01T19:00:00,SYSTEM,464.359985,62.290001
2024-01-01 19:00:00,2024-01-01T20:00:00,SYSTEM,409.790009,54.970001
2024-01-01 20:00:00,2024-01-01T21:00:00,SYSTEM,357.160004,47.91
2024-01-01 21:00:00,2024-01-01T22:00:00,SYSTEM,349.480011,46.880001
2024-01-01 22:00:00,2024-01-01T23:00:00,SYSTEM,299.160004,40.130001
2024-01-01 23:00:00,2024-01-02T00:00:00,SYSTEM,299.829987,40.220001
2024-01-02 00:00:00,2024-01-02T01:00:00,SYSTEM,283.279999,38.0
2024-01-02 01:00:00,2024-01-02T02:00:00,SYSTEM,278.209991,37.32
2024-01-02 02:00:00,2024-01-02T03:00:00,SYSTEM,275.450012,36.950001
2024-01-02 03:00:00,2024-01-02T04:00:00,SYSTEM,292.600006,39.25
2024-01-02 04:00:00,2024-01-02T05:00:00,SYSTEM,335.690002,45.029999
2024-01-02 05:00:00,2024-01-02T06:00:00,SYSTEM,392.640015,52.669998
2024-01-02 06:00:00,2024-01-02T07:00:00,SYSTEM,477.480011,64.050003
2024-01-02 07:00:00,2024-01-02T08:00:00,SYSTEM,500.959991,67.199997
2024-01-02 08:00:00,2024-01-02T09:00:00,SYSTEM,514.450012,69.010002
2024-01-02 09:00:00,2024-01-02T10:00:00,SYSTEM,541.289978,72.610001
2024-01-02 10:00:00,2024-01-02T11:00:00,SYSTEM,561.340027,75.300003
2024-01-02 11:00:00,2024-01-02T12:00:00,SYSTEM,595.710022,79.910004
2024-01-02 12:00:00,2024-01-02T13:00:00,SYSTEM,601.450012,80.68
2024-01-02 13:00:00,2024-01-02T14:00:00,SYSTEM,607.409973,81.480003
2024-01-02 14:00:00,2024-01-02T15:00:00,SYSTEM,624.929993,83.830002
2024-01-02 15:00:00,2024-01-02T16:00:00,SYSTEM,633.580017,84.989998
2024-01-02 16:00:00,2024-01-02T17:00:00,SYSTEM,633.51001,84.980003
2024-01-02 17:00:00,2024-01-02T18:00:00,SYSTEM,576.030029,77.269997
2024-01-02 18:00:00,2024-01-02T19:00:00,SYSTEM,510.200012,68.440002
2024-01-02 19:00:00,2024-01-02T20:00:00,SYSTEM,484.859985,65.040001
2024-01-02 20:00:00,2024-01-02T21:00:00,SYSTEM,441.100006,59.169998
2024-01-02 21:00:00,2024-01-02T22:00:00,SYSTEM,392.049988,52.59
2024-01-02 22:00:00,2024-01-02T23:00:00,SYSTEM,352.459991,47.279999
2024-01-02 23:00:00,2024-01-03T00:00:00,SYSTEM,325.269989,43.630001
2024-01-03 00:00:00,2024-01-03T01:00:00,SYSTEM,306.779999,41.150002
2024-01-03 01:00:00,2024-01-03T02:00:00,SYSTEM,302.980011,40.639999
2024-01-03 02:00:00,2024-01-03T03:00:00,SYSTEM,290.0,38.900002
2024-01-03 03:00:00,2024-01-03T04:00:00,SYSTEM,299.470001,40.169998
2024-01-03 04:00:00,2024-01-03T05:00:00,SYSTEM,338.390015,45.389999
2024-01-03 05:00:00,2024-01-03T06:00:00,SYSTEM,388.640015,52.130001
2024-01-03 06:00:00,2024-01-03T07:00:00,SYSTEM,447.230011,59.990002
2024-01-03 07:00:00,2024-01-03T08:00:00,SYSTEM,487.48999,65.389999
2024-01-03 08:00:00,2024-01-03T09:00:00,SYSTEM,490.619995,65.809998
2024-01-03 09:00:00,2024-01-03T10:00:00,SYSTEM,490.25,65.760002
2024-01-03 10:00:00,2024-01-03T11:00:00,SYSTEM,488.089996,65.470001
2024-01-03 11:00:00,2024-01-03T12:00:00,SYSTEM,486.369995,65.239998
